,name_number,name,structure,structure_type,space_group,exp_gap,reference,group_number,material_id,composition,electron density,cell density,cell volume,com_0,com_1,lattice constants a_0,lattice constants a_1,lattice constants b_0,lattice constants b_1,lattice constants c_0,lattice constants c_1,atomic radii(empirical)_0,atomic radii(empirical)_1,atomic radii(clementi)_0,atomic radii(clementi)_1,ionic radii(pauling)_0,ionic radii(pauling)_1,ionic radii(shannon)_0,ionic radii(shannon)_1,covalent radii_0,covalent radii_1,metal radii(waber)_0,metal radii(waber)_1,valence electron distance(schubert)_0,valence electron distance(schubert)_1,core electron distance(schubert)_0,core electron distance(schubert)_1,pseudo-potential radii(zunger)_0,pseudo-potential radii(zunger)_1,first ionization energy_0,first ionization energy_1,second ionization energy _0,second ionization energy _1,third ionization energy _0,third ionization energy _1,atomization enthalpy_0,atomization enthalpy_1,vaporization enthalpy_0,vaporization enthalpy_1,fusion enthalpy_0,fusion enthalpy_1,cohesive energy(Brewer)_0,cohesive energy(Brewer)_1,total energy_0,total energy_1,electron number_0,electron number_1,valence electron number_0,valence electron number_1,effective nuclear charge(slater)_0,effective nuclear charge(slater)_1,effective nuclear charge(clementi)_0,effective nuclear charge(clementi)_1,electronegativity(martynov&batsanov)_0,electronegativity(martynov&batsanov)_1,electronegativity(pauling)_0,electronegativity(pauling)_1,electronegativity(alfred-rochow)_0,electronegativity(alfred-rochow)_1,"atomic volume(villars,daams)_0","atomic volume(villars,daams)_1"
54,SmSb225,SmSb,Cubic,NaCl,Fm3(-)m,0.59,555,225,mp-2281,"{'Sb': 1.0, 'Sm': 1.0}",3.57150715418072,7.140894849,31.639303835,1.0,1.0,3.621,4.307,3.621,4.307,26.25,11.273,1.85,1.45,2.38,1.33,1.01,0.57,0.958,0.76,1.98,1.39,1.802,1.59,2.33,2.15,1.11,1.32,4.14,1.765,5.649,8.67,11.107,16.588,23.764,25.386,2.15,2.728,1.714,1.724,0.088,0.205,2.14,2.75,4.716,4.128,62,51,3,5,2.85,6.3,8.01,9.99,1.2,2.14,1.17,2.05,1.07,1.82,3.318,2.997
55,SmSe225,SmSe,Cubic,NaCl,Fm3(-)m,0.46,555,225,mp-1447,"{'Se': 1.0, 'Sm': 1.0}",3.7325111491522294,7.402712936,25.719949965,1.0,1.0,3.621,9.054,3.621,9.083,26.25,11.601,1.85,1.15,2.38,1.03,1.01,0.41,0.958,0.5,1.98,1.2,1.802,1.4,2.33,1.77,1.11,1.04,4.14,1.285,5.649,9.785,11.107,21.268,23.764,30.93,2.15,2.362,1.714,0.936,0.088,0.056,2.14,2.25,4.716,3.489,62,34,3,6,2.85,6.95,8.01,8.29,1.2,2.54,1.17,2.55,1.07,2.48,3.318,2.727
56,SmTe225,SmTe,Cubic,NaCl,Fm3m,0.35,19,225,mp-342,"{'Te': 1.0, 'Sm': 1.0}",3.6738103493188525,7.437265402,31.03045317,1.0,1.0,3.621,4.4572,3.621,4.4572,26.25,5.929,1.85,1.4,2.38,1.23,1.01,0.51,0.958,0.97,1.98,1.38,1.802,1.6,2.33,1.82,1.11,1.24,4.14,1.67,5.649,9.04,11.107,18.668,23.764,28.059,2.15,2.046,1.714,1.088,0.088,0.182,2.14,2.23,4.716,3.142,62,52,3,6,2.85,6.95,8.01,10.81,1.2,2.38,1.17,2.1,1.07,2.01,3.318,3.394
57,SnTe225,SnTe,Cubic,NaCl,Fm3m,0.26,4,225,mp-1883,"{'Sn': 1.0, 'Te': 1.0}",3.0877826520253375,6.190813061,33.03341313,1.0,1.0,5.8318,4.4572,5.8318,4.4572,3.1819,5.929,1.45,1.4,1.45,1.23,0.65,0.51,0.69,0.97,1.39,1.38,1.623,1.6,2.3,1.82,1.41,1.24,1.88,1.67,7.369,9.04,14.685,18.668,30.607,28.059,3.142,2.046,3.08,1.088,0.073,0.182,3.14,2.23,4.009,3.142,50,52,4,6,5.65,6.95,9.1,10.81,1.88,2.38,1.96,2.1,1.72,2.01,2.705,3.394
58,SrO225,SrO,Cubic,NaCl,Fm3(-)m,5.7,555,225,mp-2472,"{'O': 1.0, 'Sr': 1.0}",2.6079378113281217,4.877525712,17.638457405,1.0,1.0,6.0849,5.403,6.0849,3.429,6.0849,5.086,2.0,0.6,2.19,0.48,1.11,0.1,1.18,0.1,1.95,0.66,2.151,0.89,2.92,1.2,1.39,0.85,3.21,0.465,5.715,13.665,11.066,35.235,43.753,55.12,1.71,2.592,1.606,0.071,0.083,0.002,1.72,2.6,1.686,4.935,38,8,2,6,2.85,4.55,6.07,4.45,1.13,3.32,0.95,3.44,0.99,3.5,5.632,1.736
59,SrS225,SrS,Cubic,NaCl,Fm3(-)m,4.76,555,225,mp-1087,"{'S': 1.0, 'Sr': 1.0}",1.9378616223163057,3.566053226,27.86576677,1.0,1.0,6.0849,10.437,6.0849,12.845,6.0849,24.369,2.0,1.0,2.19,0.88,1.11,0.32,1.18,0.37,1.95,1.05,2.151,1.27,2.92,1.44,1.39,1.03,3.21,1.1,5.715,10.396,11.066,23.41,43.753,34.954,1.71,2.9,1.606,0.1,0.083,0.018,1.72,2.85,1.686,4.128,38,16,2,6,2.85,5.45,6.07,5.48,1.13,2.65,0.95,2.58,0.99,2.44,5.632,2.552
60,SrSe225,SrSe,Cubic,NaCl,Fm3(-)m,4.42,555,225,mp-2758,"{'Se': 1.0, 'Sr': 1.0}",2.2993482136458816,4.416865779,31.313221535,1.0,1.0,6.0849,9.054,6.0849,9.083,6.0849,11.601,2.0,1.15,2.19,1.03,1.11,0.41,1.18,0.5,1.95,1.2,2.151,1.4,2.92,1.77,1.39,1.04,3.21,1.285,5.715,9.785,11.066,21.268,43.753,30.93,1.71,2.362,1.606,0.936,0.083,0.056,1.72,2.25,1.686,3.489,38,34,2,6,2.85,6.95,6.07,8.29,1.13,2.54,0.95,2.55,0.99,2.48,5.632,2.727
61,SrTe225,SrTe,Cubic,NaCl,Fm3(-)m,3.77,555,225,mp-1958,"{'Sr': 1.0, 'Te': 1.0}",2.3682117133107536,4.701968738,38.00335903,1.0,1.0,6.0849,4.4572,6.0849,4.4572,6.0849,5.929,2.0,1.4,2.19,1.23,1.11,0.51,1.18,0.97,1.95,1.38,2.151,1.6,2.92,1.82,1.39,1.24,3.21,1.67,5.715,9.04,11.066,18.668,43.753,28.059,1.71,2.046,1.606,1.088,0.083,0.182,1.72,2.23,1.686,3.142,38,52,2,6,2.85,6.95,6.07,10.81,1.13,2.38,0.95,2.1,0.99,2.01,5.632,3.394
62,TlBr225,TlBr,Cubic,NaCl,Fm3(-)m,3.3,8,225,mp-568560,"{'Tl': 1.0, 'Br': 1.0}",2.9761141979926307,6.055753044,38.97699896,1.0,1.0,3.4566,6.7265,3.4566,4.6451,5.5248,8.7023,1.9,1.1,1.56,0.94,0.9,0.37,1.45,0.39,1.45,1.2,1.716,1.17,2.29,1.6,1.53,1.01,2.235,1.2,6.129,11.855,20.498,21.871,29.921,36.119,1.895,1.164,1.727,0.317,0.044,0.06,1.88,1.22,2.367,1.629,81,35,3,7,5.0,7.6,12.25,9.03,1.69,2.83,1.62,2.96,1.44,2.74,2.841,3.277
63,TlCl225,TlCl,Cubic,NaCl,Fm3(-)m,3.75,8,225,mp-569639,"{'Tl': 1.0, 'Cl': 1.0}",2.81339940144411,5.716620014,34.8333052,1.0,1.0,3.4566,6.2235,3.4566,4.4561,5.5248,8.1785,1.9,1.0,1.56,0.79,0.9,0.28,1.45,0.27,1.45,1.02,1.716,0.91,2.29,1.41,1.53,1.0,2.235,1.01,6.129,13.011,20.498,23.889,29.921,39.749,1.895,1.266,1.727,0.212,0.044,0.033,1.88,1.4,2.367,1.8,81,17,3,7,5.0,6.1,12.25,6.12,1.69,2.98,1.62,3.16,1.44,2.83,2.841,2.886
64,TlI225,TlI,Cubic,NaCl,Fm3m,2.7778,8,225,mp-571102,"{'Tl': 1.0, 'I': 1.0}",2.947447253898279,6.050144424,45.46306972,1.0,1.0,3.4566,7.1802,3.4566,4.7102,5.5248,9.8103,1.9,1.4,1.56,1.15,0.9,0.46,1.45,0.95,1.45,1.39,1.716,1.39,2.29,1.69,1.53,1.17,2.235,1.585,6.129,10.487,20.498,19.198,29.921,33.114,1.895,1.111,1.727,0.433,0.044,0.081,1.88,1.11,2.367,1.519,81,53,3,7,5.0,7.6,12.25,11.61,1.69,2.76,1.62,2.66,1.44,2.21,2.841,4.263
65,TmAs225,TmAs,Cubic,NaCl,Fm3(-)m,1.18,555,225,mp-1101,"{'As': 1.0, 'Tm': 1.0}",4.290169534844017,8.515820234,23.77528421,1.0,1.0,3.5375,3.7598,3.5375,3.7598,5.5546,10.5475,1.75,1.15,2.22,1.14,0.95,0.46,1.3,0.58,1.9,1.19,1.746,1.39,2.03,1.86,1.01,1.15,3.6,1.415,6.202,9.844,12.095,18.699,23.972,28.444,2.415,3.146,2.569,0.332,0.175,0.288,2.42,2.96,4.478,4.658,69,33,3,5,2.85,6.3,8.58,7.45,1.2,2.27,1.25,2.18,1.11,2.2,3.01,2.152
66,YbAs225,YbAs,Cubic,NaCl,Fm3(-)m,1.02,555,225,mp-600,"{'As': 1.0, 'Yb': 1.0}",3.8722083958076956,7.739715954,26.599808035,1.0,1.0,5.4847,3.7598,5.4847,3.7598,5.4847,10.5475,1.75,1.15,2.22,1.14,0.94,0.46,1.2,0.58,1.87,1.19,1.74,1.39,1.99,1.86,1.0,1.15,3.59,1.415,6.275,9.844,12.21,18.699,25.043,28.444,1.584,3.146,1.654,0.332,0.08,0.288,1.6,2.96,1.529,4.658,70,33,3,5,2.85,6.3,8.59,7.45,1.1,2.27,1.1,2.18,1.06,2.2,4.128,2.152
67,YbS225,YbS,Cubic,NaCl,Fm3m,1.1,19,225,mp-1820,"{'S': 1.0, 'Yb': 1.0}",3.786740889253881,7.498294273,22.71082245,1.0,1.0,5.4847,10.437,5.4847,12.845,5.4847,24.369,1.75,1.0,2.22,0.88,0.94,0.32,1.2,0.37,1.87,1.05,1.74,1.27,1.99,1.44,1.0,1.03,3.59,1.1,6.275,10.396,12.21,23.41,25.043,34.954,1.584,2.9,1.654,0.1,0.08,0.018,1.6,2.85,1.529,4.128,70,16,3,6,2.85,5.45,8.59,5.48,1.1,2.65,1.1,2.58,1.06,2.44,4.128,2.552
68,YbSb225,YbSb,Cubic,NaCl,Fm3(-)m,1.0,555,225,mp-1916,"{'Sb': 1.0, 'Yb': 1.0}",3.7254152751157243,7.535913324,32.479600545,1.0,1.0,5.4847,4.307,5.4847,4.307,5.4847,11.273,1.75,1.45,2.22,1.33,0.94,0.57,1.2,0.76,1.87,1.39,1.74,1.59,1.99,2.15,1.0,1.32,3.59,1.765,6.275,8.67,12.21,16.588,25.043,25.386,1.584,2.728,1.654,1.724,0.08,0.205,1.6,2.75,1.529,4.128,70,51,3,5,2.85,6.3,8.59,9.99,1.1,2.14,1.1,2.05,1.06,1.82,4.128,2.997
69,YbSe225,YbSe,Cubic,NaCl,Fm3m,1.5,19,225,mp-286,"{'Se': 1.0, 'Yb': 1.0}",4.018597993460196,8.084643227,25.879672505,1.0,1.0,5.4847,9.054,5.4847,9.083,5.4847,11.601,1.75,1.15,2.22,1.03,0.94,0.41,1.2,0.5,1.87,1.2,1.74,1.4,1.99,1.77,1.0,1.04,3.59,1.285,6.275,9.785,12.21,21.268,25.043,30.93,1.584,2.362,1.654,0.936,0.08,0.056,1.6,2.25,1.529,3.489,70,34,3,6,2.85,6.95,8.59,8.29,1.1,2.54,1.1,2.55,1.06,2.48,4.128,2.727
70,YbTe225,YbTe,Cubic,NaCl,Fm3m,0.95,1,225,mp-1779,"{'Te': 1.0, 'Yb': 1.0}",3.792851130569653,7.760180516,32.165776035,1.0,1.0,5.4847,4.4572,5.4847,4.4572,5.4847,5.929,1.75,1.4,2.22,1.23,0.94,0.51,1.2,0.97,1.87,1.38,1.74,1.6,1.99,1.82,1.0,1.24,3.59,1.67,6.275,9.04,12.21,18.668,25.043,28.059,1.584,2.046,1.654,1.088,0.08,0.182,1.6,2.23,1.529,3.142,70,52,3,6,2.85,6.95,8.59,10.81,1.1,2.38,1.1,2.1,1.06,2.01,4.128,3.394
71,YN225,YN,Cubic,NaCl,Fm3(-)m,1.9,555,225,mp-2114,"{'N': 1.0, 'Y': 1.0}",3.0916526812201113,5.742755172,14.878773505,1.0,1.0,3.6474,3.861,3.6474,3.861,5.7306,6.265,1.8,0.65,2.12,0.56,0.93,0.12,0.9,0.16,1.9,0.71,1.801,0.88,2.42,1.33,1.22,1.03,2.94,0.54,6.402,14.584,12.282,29.702,20.592,47.611,4.382,4.916,3.821,0.058,0.119,0.004,4.37,4.92,6.467,4.634,39,7,3,5,3.0,3.9,6.26,3.83,1.41,2.85,1.22,3.04,1.11,3.07,3.318,1.289
72,AgI186,AgI,Hexagonal,wurtzite,P63mc,2.919,555,186,mp-22894,"{'Ag': 2.0, 'I': 2.0}",2.733892154331315,5.329028127,36.577887625,1.0,1.0,4.0853,7.1802,4.0853,4.7102,4.0853,9.8103,1.6,1.4,1.65,1.15,1.12,0.46,1.15,0.95,1.45,1.39,1.445,1.39,2.9,1.69,1.3,1.17,2.375,1.585,7.602,10.487,21.57,19.198,34.954,33.114,2.96,1.111,2.68,0.433,0.118,0.081,2.95,1.11,2.832,1.519,47,53,11,7,4.2,7.6,8.03,11.61,1.07,2.76,1.93,2.66,1.42,2.21,1.706,4.263
73,AlN186,AlN,Hexagonal,wurtzite,P63mc,5.88,555,186,mp-661,"{'N': 2.0, 'Al': 2.0}",1.8811453184720897,3.20088964,10.63182084,1.0,1.0,4.0495,3.861,4.0495,3.861,4.0495,6.265,1.25,0.65,1.18,0.56,0.5,0.12,0.535,0.16,1.21,0.71,1.432,0.88,2.01,1.33,1.25,1.03,1.675,0.54,6.007,14.584,18.897,29.702,28.548,47.611,3.395,4.916,3.024,0.058,0.111,0.004,3.39,4.92,3.748,4.634,13,7,3,5,3.5,3.9,4.07,3.83,1.64,2.85,1.61,3.04,1.47,3.07,1.66,1.289
74,BN186,BN,Hexagonal,wurtzite,P63mc,3.4,1,186,mp-2653,"{'B': 2.0, 'N': 2.0}",2.010336766337963,3.451979394,5.96914915,1.0,1.0,5.06,3.861,5.06,3.861,5.06,6.265,0.85,0.65,0.87,0.56,0.2,0.12,0.27,0.16,0.85,0.71,0.98,0.88,1.51,1.33,1.16,1.03,0.795,0.54,8.326,14.584,25.241,29.702,38.064,47.611,5.852,4.916,5.247,0.058,0.52,0.004,5.77,4.92,6.678,4.634,5,7,3,5,2.6,3.9,2.42,3.83,1.9,2.85,2.04,3.04,2.01,3.07,0.789,1.289
75,GaN186,GaN,Hexagonal,wurtzite,P63mc,3.39,555,186,mp-804,"{'N': 2.0, 'Ga': 2.0}",3.2379813604819048,5.92364983,11.73570684,1.0,1.0,4.5197,3.861,7.6633,3.861,4.526,6.265,1.3,0.65,1.36,0.56,0.63,0.12,0.62,0.16,1.22,0.71,1.411,0.88,2.0,1.33,1.38,1.03,1.695,0.54,6.02,14.584,20.582,29.702,30.815,47.611,2.881,4.916,2.811,0.058,0.058,0.004,2.81,4.92,3.037,4.634,31,7,3,5,5.0,3.9,6.22,3.83,1.7,2.85,1.81,3.04,1.82,3.07,1.947,1.289
76,InN186,InN,Hexagonal,wurtzite,P63mc,2.05,5,186,mp-22205,"{'N': 2.0, 'In': 2.0}",3.477455086524033,6.641890893,16.1037306325,1.0,1.0,3.2523,3.861,3.2523,3.861,4.9461,6.265,1.55,0.65,1.56,0.56,0.76,0.12,0.8,0.16,1.42,0.71,1.663,0.88,2.3,1.33,1.49,1.03,2.05,0.54,5.806,14.584,18.938,29.702,28.132,47.611,2.53,4.916,2.411,0.058,0.034,0.004,2.52,4.92,2.722,4.634,49,7,3,5,5.0,3.9,8.47,3.83,1.63,2.85,1.78,3.04,1.49,3.07,2.617,1.289
77,MgTe186,MgTe,Hexagonal,wurtzite,P63mc,3.6,555,186,mp-1039,"{'Mg': 2.0, 'Te': 2.0}",1.8515596592900228,3.64879026,34.565453875,1.0,1.0,3.2094,4.4572,3.2094,4.4572,5.2108,5.929,1.5,1.4,1.45,1.23,0.63,0.51,0.72,0.97,1.41,1.38,1.602,1.6,2.3,1.82,1.09,1.24,2.03,1.67,7.672,9.04,15.09,18.668,80.423,28.059,1.536,2.046,1.327,1.088,0.09,0.182,1.51,2.23,1.594,3.142,12,52,2,6,2.85,6.95,3.31,10.81,1.31,2.38,1.31,2.1,1.23,2.01,2.324,3.394
78,MnS186,MnS,Hexagonal,wurtzite,P63mc,2.8,19,186,mp-2562,"{'Mn': 2.0, 'S': 2.0}",1.9249172787486448,3.391421443,21.2996165875,1.0,1.0,8.9125,10.437,8.9125,12.845,8.9125,24.369,1.4,1.0,1.61,0.88,0.6,0.32,0.67,0.37,1.39,1.05,1.304,1.27,1.26,1.44,0.79,1.03,2.22,1.1,7.461,10.396,15.694,23.41,33.779,34.954,2.919,2.9,2.293,0.1,0.137,0.018,2.92,2.85,9.159,4.128,25,16,7,6,3.6,5.45,5.23,5.48,2.04,2.65,1.55,2.58,1.6,2.44,1.22,2.552
79,SiC186,SiC,Hexagonal,wurtzite,P63mc,3.33,1,186,mp-7140,"{'C': 2.0, 'Si': 2.0}",1.9045121089536943,3.170122562,10.50137718,1.0,1.0,5.4309,2.464,5.4309,2.464,5.4309,6.711,1.1,0.7,1.11,0.67,0.42,0.15,0.4,0.16,1.11,0.76,1.319,0.916,1.91,1.41,1.18,1.0,1.42,0.64,8.18,11.299,16.401,24.471,33.613,48.048,4.738,7.454,3.986,7.393,0.522,1.092,4.63,7.37,5.425,9.224,14,6,4,4,4.15,3.25,4.29,3.14,1.98,2.37,1.9,2.55,1.74,2.5,2.002,0.882
80,ZnO186,ZnO,Hexagonal,wurtzite,P63mc,3.25,1,186,mp-2133,"{'O': 2.0, 'Zn': 2.0}",3.057198388766744,5.437863971,12.4296807625,1.0,1.0,2.6649,5.403,2.6649,3.429,4.9468,5.086,1.35,0.6,1.42,0.48,0.78,0.1,0.74,0.1,1.22,0.66,1.394,0.89,2.21,1.2,1.25,0.85,1.88,0.465,9.427,13.665,18.023,35.235,39.863,55.12,1.359,2.592,1.188,0.071,0.076,0.002,1.35,2.6,1.273,4.935,30,8,12,6,4.35,4.55,5.97,4.45,1.44,3.32,1.65,3.44,1.66,3.5,1.521,1.736
81,ZnS186,ZnS,Hexagonal,wurtzite,P63mc,3.704,555,186,mp-560588,"{'Zn': 2.0, 'S': 2.0}",2.2708532558462284,3.995205494,20.2567030175,1.0,1.0,2.6649,10.437,2.6649,12.845,4.9468,24.369,1.35,1.0,1.42,0.88,0.78,0.32,0.74,0.37,1.22,1.05,1.394,1.27,2.21,1.44,1.25,1.03,1.88,1.1,9.427,10.396,18.023,23.41,39.863,34.954,1.359,2.9,1.188,0.1,0.076,0.018,1.35,2.85,1.273,4.128,30,16,12,6,4.35,5.45,5.97,5.48,1.44,2.65,1.65,2.58,1.66,2.44,1.521,2.552
82,ZnSe186,ZnSe,Hexagonal,wurtzite,P63mc,2.795,555,186,mp-380,"{'Zn': 2.0, 'Se': 2.0}",2.700295770747747,5.057366242,23.7011073725,1.0,1.0,2.6649,9.054,2.6649,9.083,4.9468,11.601,1.35,1.15,1.42,1.03,0.78,0.41,0.74,0.5,1.22,1.2,1.394,1.4,2.21,1.77,1.25,1.04,1.88,1.285,9.427,9.785,18.023,21.268,39.863,30.93,1.359,2.362,1.188,0.936,0.076,0.056,1.35,2.25,1.273,3.489,30,34,12,6,4.35,6.95,5.97,8.29,1.44,2.54,1.65,2.55,1.66,2.48,1.521,2.727
83,AlAs216,AlAs,Cubic,ZnS,F4(-)3m,2.228,555,216,mp-2172,"{'Al': 1.0, 'As': 1.0}",1.9522272763438895,3.590700647,23.56283029,1.0,1.0,4.0495,3.7598,4.0495,3.7598,4.0495,10.5475,1.25,1.15,1.18,1.14,0.5,0.46,0.535,0.58,1.21,1.19,1.432,1.39,2.01,1.86,1.25,1.15,1.675,1.415,6.007,9.844,18.897,18.699,28.548,28.444,3.395,3.146,3.024,0.332,0.111,0.288,3.39,2.96,3.748,4.658,13,33,3,5,3.5,6.3,4.07,7.45,1.64,2.27,1.61,2.18,1.47,2.2,1.66,2.152
84,AlP216,AlP,Cubic,ZnS,F4(-)3m,2.45,555,216,mp-1550,"{'Al': 1.0, 'P': 1.0}",1.3411461197020824,2.304784495,20.877665445,1.0,1.0,4.0495,11.45,4.0495,5.503,4.0495,11.261,1.25,1.0,1.18,0.98,0.5,0.36,0.535,0.44,1.21,1.07,1.432,1.28,2.01,1.54,1.25,1.09,1.675,1.24,6.007,10.522,18.897,19.791,28.548,30.285,3.395,3.272,3.024,0.54,0.111,0.007,3.39,3.43,3.748,5.405,13,15,3,5,3.5,4.8,4.07,4.89,1.64,2.32,1.61,2.19,1.47,2.06,1.66,1.899
85,AlSb216,AlSb,Cubic,ZnS,F4(-)3m,1.62,555,216,mp-2624,"{'Al': 1.0, 'Sb': 1.0}",2.113584555123002,4.07841126,30.28031211,1.0,1.0,4.0495,4.307,4.0495,4.307,4.0495,11.273,1.25,1.45,1.18,1.33,0.5,0.57,0.535,0.76,1.21,1.39,1.432,1.59,2.01,2.15,1.25,1.32,1.675,1.765,6.007,8.67,18.897,16.588,28.548,25.386,3.395,2.728,3.024,1.724,0.111,0.205,3.39,2.75,3.748,4.128,13,51,3,5,3.5,6.3,4.07,9.99,1.64,2.14,1.61,2.05,1.47,1.82,1.66,2.997
86,BeS216,BeS,Cubic,ZnS,F4(-)3m,4.17,555,216,mp-422,"{'Be': 1.0, 'S': 1.0}",1.381415590748774,2.355668066,14.47790233,1.0,1.0,2.2858,10.437,2.2858,12.845,3.5843,24.369,1.05,1.0,1.12,0.88,0.3,0.32,0.45,0.37,0.96,1.05,1.128,1.27,1.8,1.44,1.33,1.03,1.08,1.1,9.354,10.396,18.273,23.41,154.419,34.954,3.373,2.9,3.212,0.1,0.083,0.018,3.32,2.85,3.743,4.128,4,16,2,6,1.95,5.45,1.91,5.48,1.45,2.65,1.57,2.58,1.47,2.44,0.811,2.552
87,BeSe216,BeSe,Cubic,ZnS,F4(-)3m,3.61,555,216,mp-1541,"{'Be': 1.0, 'Se': 1.0}",2.1824232199152807,4.194882841,17.411838205,1.0,1.0,2.2858,9.054,2.2858,9.083,3.5843,11.601,1.05,1.15,1.12,1.03,0.3,0.41,0.45,0.5,0.96,1.2,1.128,1.4,1.8,1.77,1.33,1.04,1.08,1.285,9.354,9.785,18.273,21.268,154.419,30.93,3.373,2.362,3.212,0.936,0.083,0.056,3.32,2.25,3.743,3.489,4,34,2,6,1.95,6.95,1.91,8.29,1.45,2.54,1.57,2.55,1.47,2.48,0.811,2.727
88,BeTe216,BeTe,Cubic,ZnS,F4(-)3m,2.89,555,216,mp-252,"{'Be': 1.0, 'Te': 1.0}",2.4612403031016203,4.985107339,22.75275597,1.0,1.0,2.2858,4.4572,2.2858,4.4572,3.5843,5.929,1.05,1.4,1.12,1.23,0.3,0.51,0.45,0.97,0.96,1.38,1.128,1.6,1.8,1.82,1.33,1.24,1.08,1.67,9.354,9.04,18.273,18.668,154.419,28.059,3.373,2.046,3.212,1.088,0.083,0.182,3.32,2.23,3.743,3.142,4,52,2,6,1.95,6.95,1.91,10.81,1.45,2.38,1.57,2.1,1.47,2.01,0.811,3.394
89,BN216,BN,Cubic,ZnS,F4(-)3m,3.4,1,216,mp-1639,"{'B': 1.0, 'N': 1.0}",2.0136637404818365,3.457692191,5.959286925,1.0,1.0,5.06,3.861,5.06,3.861,5.06,6.265,0.85,0.65,0.87,0.56,0.2,0.12,0.27,0.16,0.85,0.71,0.98,0.88,1.51,1.33,1.16,1.03,0.795,0.54,8.326,14.584,25.241,29.702,38.064,47.611,5.852,4.916,5.247,0.058,0.52,0.004,5.77,4.92,6.678,4.634,5,7,3,5,2.6,3.9,2.42,3.83,1.9,2.85,2.04,3.04,2.01,3.07,0.789,1.289
90,BP216,BP,Cubic,ZnS,F4(-)3m,2.0,1,216,mp-1479,"{'B': 1.0, 'P': 1.0}",1.7021498490896283,2.952601408,11.749846825,1.0,1.0,5.06,11.45,5.06,5.503,5.06,11.261,0.85,1.0,0.87,0.98,0.2,0.36,0.27,0.44,0.85,1.07,0.98,1.28,1.51,1.54,1.16,1.09,0.795,1.24,8.326,10.522,25.241,19.791,38.064,30.285,5.852,3.272,5.247,0.54,0.52,0.007,5.77,3.43,6.678,5.405,5,15,3,5,2.6,4.8,2.42,4.89,1.9,2.32,2.04,2.19,2.01,2.06,0.789,1.899
91,CdS216,CdS,Cubic,ZnS,F4(-)3m,2.44,34,216,mp-2469,"{'S': 1.0, 'Cd': 1.0}",2.4418984181361063,4.576805151,26.20911645,1.0,1.0,2.9794,10.437,2.9794,12.845,5.6186,24.369,1.55,1.0,1.61,0.88,0.93,0.32,0.95,0.37,1.44,1.05,1.568,1.27,2.4,1.44,1.39,1.03,2.215,1.1,9.024,10.396,16.962,23.41,37.606,34.954,1.165,2.9,1.04,0.1,0.066,0.018,1.16,2.85,0.915,4.128,48,16,12,6,4.35,5.45,8.19,5.48,1.4,2.65,1.69,2.58,1.46,2.44,2.144,2.552
92,CdSe216,CdSe,Cubic,ZnS,F4(-)3m,1.74,46,216,mp-2691,"{'Se': 1.0, 'Cd': 1.0}",2.7354854263419415,5.300487005,29.97639805,1.0,1.0,2.9794,9.054,2.9794,9.083,5.6186,11.601,1.55,1.15,1.61,1.03,0.93,0.41,0.95,0.5,1.44,1.2,1.568,1.4,2.4,1.77,1.39,1.04,2.215,1.285,9.024,9.785,16.962,21.268,37.606,30.93,1.165,2.362,1.04,0.936,0.066,0.056,1.16,2.25,0.915,3.489,48,34,12,6,4.35,6.95,8.19,8.29,1.4,2.54,1.69,2.55,1.46,2.48,2.144,2.727
93,CdTe216,CdTe,Cubic,ZnS,F4(-)3m,1.5,1,216,mp-406,"{'Cd': 1.0, 'Te': 1.0}",2.7462263847504813,5.472510161,36.413603975,1.0,1.0,2.9794,4.4572,2.9794,4.4572,5.6186,5.929,1.55,1.4,1.61,1.23,0.93,0.51,0.95,0.97,1.44,1.38,1.568,1.6,2.4,1.82,1.39,1.24,2.215,1.67,9.024,9.04,16.962,18.668,37.606,28.059,1.165,2.046,1.04,1.088,0.066,0.182,1.16,2.23,0.915,3.142,48,52,12,6,4.35,6.95,8.19,10.81,1.4,2.38,1.69,2.1,1.46,2.01,2.144,3.394
94,CuBr216,CuBr,Cubic,ZnS,F4(-)3m,2.987,555,216,mp-22913,"{'Cu': 1.0, 'Br': 1.0}",2.766116700184128,5.147663767,23.13712939,1.0,1.0,3.6149,6.7265,3.6149,4.6451,3.6149,8.7023,1.35,1.1,1.45,0.94,0.96,0.37,0.77,0.39,1.32,1.2,1.278,1.17,2.55,1.6,1.12,1.01,2.04,1.2,7.752,11.855,20.363,21.871,36.962,36.119,3.518,1.164,3.19,0.317,0.136,0.06,3.49,1.22,4.099,1.629,29,35,11,7,4.2,7.6,5.84,9.03,1.08,2.83,1.9,2.96,1.75,2.74,1.181,3.277
95,CuCl216,CuCl,Cubic,ZnS,F4(-)3m,3.395,6,216,mp-22914,"{'Cl': 1.0, 'Cu': 1.0}",2.331038792611701,4.165254785,19.733691325,1.0,1.0,3.6149,6.2235,3.6149,4.4561,3.6149,8.1785,1.35,1.0,1.45,0.79,0.96,0.28,0.77,0.27,1.32,1.02,1.278,0.91,2.55,1.41,1.12,1.0,2.04,1.01,7.752,13.011,20.363,23.889,36.962,39.749,3.518,1.266,3.19,0.212,0.136,0.033,3.49,1.4,4.099,1.8,29,17,11,7,4.2,6.1,5.84,6.12,1.08,2.98,1.9,3.16,1.75,2.83,1.181,2.886
