,name_number,name,structure,structure_type,space_group,exp_gap,reference,group_number,material_id,composition,electron density,cell density,cell volume,com_0,com_1,lattice constants a_0,lattice constants a_1,lattice constants b_0,lattice constants b_1,lattice constants c_0,lattice constants c_1,atomic radii(empirical)_0,atomic radii(empirical)_1,atomic radii(clementi)_0,atomic radii(clementi)_1,ionic radii(pauling)_0,ionic radii(pauling)_1,ionic radii(shannon)_0,ionic radii(shannon)_1,covalent radii_0,covalent radii_1,metal radii(waber)_0,metal radii(waber)_1,valence electron distance(schubert)_0,valence electron distance(schubert)_1,core electron distance(schubert)_0,core electron distance(schubert)_1,pseudo-potential radii(zunger)_0,pseudo-potential radii(zunger)_1,first ionization energy_0,first ionization energy_1,second ionization energy _0,second ionization energy _1,third ionization energy _0,third ionization energy _1,atomization enthalpy_0,atomization enthalpy_1,vaporization enthalpy_0,vaporization enthalpy_1,fusion enthalpy_0,fusion enthalpy_1,cohesive energy(Brewer)_0,cohesive energy(Brewer)_1,total energy_0,total energy_1,electron number_0,electron number_1,valence electron number_0,valence electron number_1,effective nuclear charge(slater)_0,effective nuclear charge(slater)_1,effective nuclear charge(clementi)_0,effective nuclear charge(clementi)_1,electronegativity(martynov&batsanov)_0,electronegativity(martynov&batsanov)_1,electronegativity(pauling)_0,electronegativity(pauling)_1,electronegativity(alfred-rochow)_0,electronegativity(alfred-rochow)_1,"atomic volume(villars,daams)_0","atomic volume(villars,daams)_1"
44,PrAs225,PrAs,Cubic,NaCl,Fm3(-)m,1.0,555,225,mp-10622,"{'As': 1.0, 'Pr': 1.0}",3.2521948748595926,6.334584447,28.28858772,1.0,1.0,3.6725,3.7598,3.6725,3.7598,11.8354,10.5475,1.85,1.15,2.47,1.14,1.04,0.46,0.99,0.58,2.03,1.19,1.828,1.39,2.39,1.86,1.2,1.15,4.48,1.415,5.439,9.844,10.587,18.699,21.736,28.444,3.698,3.146,3.713,0.332,0.072,0.288,3.7,2.96,4.777,4.658,59,33,3,5,2.85,6.3,7.75,7.45,1.1,2.27,1.13,2.18,1.07,2.2,3.456,2.152
45,PrSb225,PrSb,Cubic,NaCl,Fm3(-)m,0.66,555,225,mp-1785,"{'Sb': 1.0, 'Pr': 1.0}",3.282106929447464,6.507073681,33.51505675,1.0,1.0,3.6725,4.307,3.6725,4.307,11.8354,11.273,1.85,1.45,2.47,1.33,1.04,0.57,0.99,0.76,2.03,1.39,1.828,1.59,2.39,2.15,1.2,1.32,4.48,1.765,5.439,8.67,10.587,16.588,21.736,25.386,3.698,2.728,3.713,1.724,0.072,0.205,3.7,2.75,4.777,4.128,59,51,3,5,2.85,6.3,7.75,9.99,1.1,2.14,1.13,2.05,1.07,1.82,3.456,2.997
46,RbBr225,RbBr,Cubic,NaCl,Fm3(-)m,7.25,555,225,mp-22867,"{'Br': 1.0, 'Rb': 1.0}",1.6593588252410452,3.164378036,43.390253455,1.0,1.0,5.585,6.7265,5.585,4.6451,5.585,8.7023,2.35,1.1,2.65,0.94,1.49,0.37,1.52,0.39,2.2,1.2,2.546,1.17,4.9,1.6,1.43,1.01,4.1,1.2,4.191,11.855,27.373,21.871,40.134,36.119,0.841,1.164,0.787,0.317,0.023,0.06,0.85,1.22,0.969,1.629,37,35,1,7,2.2,7.6,4.98,9.03,0.8,2.83,0.82,2.96,0.89,2.74,9.284,3.277
47,RbCl225,RbCl,Cubic,NaCl,Fm3(-)m,8.29,555,225,mp-23295,"{'Cl': 1.0, 'Rb': 1.0}",1.4371653947614529,2.671979354,37.57396344,1.0,1.0,5.585,6.2235,5.585,4.4561,5.585,8.1785,2.35,1.0,2.65,0.79,1.49,0.28,1.52,0.27,2.2,1.02,2.546,0.91,4.9,1.41,1.43,1.0,4.1,1.01,4.191,13.011,27.373,23.889,40.134,39.749,0.841,1.266,0.787,0.212,0.023,0.033,0.85,1.4,0.969,1.8,37,17,1,7,2.2,6.1,4.98,6.12,0.8,2.98,0.82,3.16,0.89,2.83,9.284,2.886
48,RbF225,RbF,Cubic,NaCl,Fm3(-)m,10.4,555,225,mp-11718,"{'F': 1.0, 'Rb': 1.0}",1.9469606066853349,3.671083293,23.626569455,1.0,1.0,5.585,5.5,5.585,3.28,5.585,7.28,2.35,0.5,2.65,0.42,1.49,0.09,1.52,0.8,2.2,0.57,2.546,0.75,4.9,1.16,1.43,0.83,4.1,0.405,4.191,17.482,27.373,35.09,40.134,62.92,0.841,0.822,0.787,0.034,0.023,0.003,0.85,0.84,0.969,1.151,37,9,1,7,2.2,5.2,4.98,5.1,0.8,3.78,0.82,3.98,0.89,4.1,9.284,1.855
49,RbI225,RbI,Cubic,NaCl,Fm3(-)m,5.83,555,225,mp-22903,"{'Rb': 1.0, 'I': 1.0}",1.7149863319352787,3.359967353,52.47855235,1.0,1.0,5.585,7.1802,5.585,4.7102,5.585,9.8103,2.35,1.4,2.65,1.15,1.49,0.46,1.52,0.95,2.2,1.39,2.546,1.39,4.9,1.69,1.43,1.17,4.1,1.585,4.191,10.487,27.373,19.198,40.134,33.114,0.841,1.111,0.787,0.433,0.023,0.081,0.85,1.11,0.969,1.519,37,53,1,7,2.2,7.6,4.98,11.61,0.8,2.76,0.82,2.66,0.89,2.21,9.284,4.263
50,ScN225,ScN,Cubic,NaCl,Fm3(-)m,2.6,555,225,mp-2857,"{'N': 1.0, 'Sc': 1.0}",2.4283987064213233,4.245782773,11.530231805,1.0,1.0,3.309,3.861,3.309,3.861,5.2733,6.265,1.6,0.65,1.84,0.56,0.8,0.12,0.745,0.16,1.7,0.71,1.941,0.88,2.21,1.33,1.1,1.03,2.75,0.54,6.562,14.584,12.844,29.702,24.846,47.611,3.929,4.916,3.911,0.058,0.166,0.004,3.9,4.92,6.335,4.634,21,7,3,5,3.0,3.9,4.63,3.83,1.5,2.85,1.36,3.04,1.2,3.07,2.5,1.289
51,SmAs225,SmAs,Cubic,NaCl,Fm3(-)m,1.03,555,225,mp-1738,"{'As': 1.0, 'Sm': 1.0}",3.5838206931483296,7.056144797,26.50802262,1.0,1.0,3.621,3.7598,3.621,3.7598,26.25,10.5475,1.85,1.15,2.38,1.14,1.01,0.46,0.958,0.58,1.98,1.19,1.802,1.39,2.33,1.86,1.11,1.15,4.14,1.415,5.649,9.844,11.107,18.699,23.764,28.444,2.15,3.146,1.714,0.332,0.088,0.288,2.14,2.96,4.716,4.658,62,33,3,5,2.85,6.3,8.01,7.45,1.2,2.27,1.17,2.18,1.07,2.2,3.318,2.152
52,SmP225,SmP,Cubic,NaCl,Fm3(-)m,1.09,555,225,mp-710,"{'P': 1.0, 'Sm': 1.0}",3.1390132468890615,6.137622733,24.53000161,1.0,1.0,3.621,11.45,3.621,5.503,26.25,11.261,1.85,1.0,2.38,0.98,1.01,0.36,0.958,0.44,1.98,1.07,1.802,1.28,2.33,1.54,1.11,1.09,4.14,1.24,5.649,10.522,11.107,19.791,23.764,30.285,2.15,3.272,1.714,0.54,0.088,0.007,2.14,3.43,4.716,5.405,62,15,3,5,2.85,4.8,8.01,4.89,1.2,2.32,1.17,2.19,1.07,2.06,3.318,1.899
53,SmS225,SmS,Cubic,NaCl,Fm3m,0.22,11,225,mp-1269,"{'S': 1.0, 'Sm': 1.0}",3.42193366017902,6.644777341,22.794129795,1.0,1.0,3.621,10.437,3.621,12.845,26.25,24.369,1.85,1.0,2.38,0.88,1.01,0.32,0.958,0.37,1.98,1.05,1.802,1.27,2.33,1.44,1.11,1.03,4.14,1.1,5.649,10.396,11.107,23.41,23.764,34.954,2.15,2.9,1.714,0.1,0.088,0.018,2.14,2.85,4.716,4.128,62,16,3,6,2.85,5.45,8.01,5.48,1.2,2.65,1.17,2.58,1.07,2.44,3.318,2.552
