name,component,cell volume,cell density,electron density,n,structure of 0k,structure 2,structure 3,structure of room temperature,lattice constants a,lattice constants b,lattice constants c,atomic radii(empirical),atomic radii(clementi),ionic radii(pauling),ionic radii(shannon),covalent radii,metal radii(waber),valence electron distance(schubert),core electron distance(schubert),pseudo-potential radii(zunger),first ionization energy,second ionization energy ,third ionization energy ,electronic affinity,atomization enthalpy,vaporization enthalpy,fusion enthalpy,cohesive energy(Brewer),total energy,surface enthalpy (miedema),vacancies enthalpy(miedema),work function,accumulate ionization energy ,lowest energy of the atomic orbitals,2nd lowest energy of the atomic orbitals,electron number,valence electron number,valence electron number/radii,s,p,d,f,effective nuclear charge(slater),effective nuclear charge(clementi),periodic number,group number,electronegativity(martynov&batsanov),electronegativity(pauling),electronegativity(alfred-rochow),compression modulus,bulk modulus,rigidity modulus,young modulus,shear modulus,melting temperature,boiling temperature,thermal conductivity,electrical resistivity,specific heat,electrical conductivity,thermal expansion,poisson ratio,"atomic volume(villars,daams)","atomic weight(villars,daams)",molar volume ,atomic density ,brinell hardness
abbrTex,$com$,$V_c$,$\rho_c$,$\rho_e$,n,$S_1$,$S_2$,$S_3$,$S_t$,$a$,$b$,$c$,$r_{ae}$,$r_{ac}$,$r_{ip}$,$r_{is}$,$r_{c}$,$r_m$,$d_{ve}$,$d_{ce}$,$r_{pp}$,$IE_1$,$IE_2$,$IE_3$,$EA$,$H_a$,$H_v$,$H_f$,$E_{coh}$,$E_{tot}$,$E_s$,$E_v$,$W_f$,$IE_{3s}$,$E_{low}$,$E_{low2}$,$e$,$VEC$,$VEC_{pr}$,$s$,$p$,$d$,$f$,$N_{cs}$,$N_{cc}$,$N_p$,$N_g$,$\chi_m$,$\chi_p$,$\chi_a$,$E_p$,$E_b$,$E_{ri}$,$Y$,$G_s$,$T_m$,$T_b$,$T_c$,$E_r$,$H_s$,$E_c$,$T_e$,$\mu$,$V_a$,$m$,$V_{mol}$,$\rho_a$,$H_b$
abbr,com,V_c,rho_c,rho_e,n,S1,S2,S3,St,a,b,c,rae,rac,rip,ris,rc,rm,dve,dce,rpp,IE1,IE2,IE3,EA,Ha,Hv,Hf,Ecoh,Etot,Es,Em,Wf,IE3s,Elow,Elow2,e,VEC,VECpr,s,p,d,f,Ncs,Ncc,Np,Ng,Xm,Xp,Xa,Ep,Eb,Eri,Y,Gs,Tm,Tb,Tc,Er,Hs,Ec,Te,mu,Va,m,Vmol,rho_a,Hb
